Country	alpha.3ISO	N_news	ISA	Education_Index_2019	Human_Development_Index_.HDI._2019	Internet_users_2018	PISA_Reading_2018	Pisa_Science_2018	Number_newspapers_Mean1996.2005	Press_Freedom_Index	N_Spiders	N_Deadly	Reference_N_Spiders
Peru	PER	17	2	0,74	0,777	52,5	401	404	58	31,71	1331	31	World Spider Catalog 2021
Philippines	PHL	20	1	0,678	0,718	60,1	340	357	65	45,64	651	2	World Spider Catalog 2021
Poland	POL	164	10	0,869	0,88	77,5	512	511	47,89	28,84	1105	1	World Spider Catalog 2021
Puerto Rico	PRI	2	0	NA	NA	NA	NA	NA	4,6	NA	292	2	World Spider Catalog 2021
Portugal	PRT	31	0	0,768	0,864	74,7	492	492	27,78	10,11	1410	2	World Spider Catalog 2021
Paraguay	PRY	1	1	0,638	0,728	65	NA	NA	5	33,52	482	9	World Spider Catalog 2021
Palestine	PSE	6	0	0,678	0,708	64,4	NA	NA	3	43,18	246	6	World Spider Catalog 2021
Qatar	QAT	3	0	0,659	0,848	99,7	407	419	5	42,6	90	2	World Spider Catalog 2021
Russia	RUS	490	13	0,823	0,824	80,9	479	478	242,88	48,71	2618	1	World Spider Catalog 2021
Saudi Arabia	SAU	6	0	0,789	0,854	93,3	399	386	11,2	62,73	183	4	World Spider Catalog 2021
Singapore	SGP	76	10	0,844	0,938	88,2	549	551	9,44	55,2	310	0	Song et al. 2002
Serbia	SRB	35	2	0,783	0,806	73,4	439	440	NA	32,03	1146	2	World Spider Catalog 2021
Slovenia	SVN	23	5	0,91	0,917	79,8	495	507	5,44	23,1	1259	2	World Spider Catalog 2021
Sweden	SWE	22	5	0,918	0,945	92,1	506	499	93,22	7,24	1042	0	World Spider Catalog 2021
Syria	SYR	2	0	0,416	0,567	34,3	NA	NA	4,8	70,63	325	5	World Spider Catalog 2021
Thailand	THA	38	5	0,682	0,777	56,8	393	426	32	45,22	791	2	World Spider Catalog 2021
Turkey	TUR	129	10	0,731	0,82	71	466	468	760	49,79	1712	5	World Spider Catalog 2021
Taiwan	TWN	54	7	NA	NA	NA	503	516	NA	23,86	428	1	World Spider Catalog 2021
Tanzania	TZA	13	0	0,429	0,529	25	NA	NA	10,33	40,69	1064	4	World Spider Catalog 2021
Ukraine	UKR	143	3	0,799	0,779	58,9	466	469	60,22	32,96	1218	1	World Spider Catalog 2021
Uruguay	URY	6	10	0,765	0,817	68,3	427	426	36	16,38	232	5	World Spider Catalog 2021
USA	USA	616	198	0,9	0,926	87,3	505	502	1492,11	23,93	4087	18	World Spider Catalog 2021
Venezuela	VEN	1	0	0,7	0,711	72	NA	NA	89	47,6	1063	11	World Spider Catalog 2021
South Africa	ZAF	64	9	0,724	0,709	56,2	NA	NA	17,33	21,59	2253	17	Foord et al. 2020
